,company,edu,experience,gzxz,kind,number,place,pourtime,require,salary,url,zhiwei
0,阿里巴巴集团 ,本科,3-5年,全职,数据分析师,若干 ,杭州,15天前,"1. 构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题 2.按照部门、人员、商品、供应商、时间等各个维度综合分析各项经营指标，如：成本、毛利、利润、库存、结算、盈亏平衡点、销售数量、销售金额、市场占有率等等 3. 通过专题分析，对业务问题进行深入分析，为公司运营决策、产品方向、销售策略提供数据支持 4. 沉淀分析思路与框架， 提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地1. 5年左右零售数据分析相关工作经历； 2. 中大型零售公司经营 互联网零售公司BI经营优先考虑 3. 大项目的经验，有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目； 4. 有客户数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的优先。
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917285979.htm,淘宝心选-零售数据分析专家(职位编号：GP039594)
1,阿里巴巴集团 ,本科,3-5年,全职,数据分析师,若干 ,杭州,15天前,"1. 构建全面的、准确的、能反映业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题 2. 通过专题分析，对业务问题进行深入分析，为公司运营决策、产品方向提供数据支持； 3. 从会员、商品、营销、竞争等角度开展分析工作，并建立对应主题的决策、管理体系； 4. 为数据工程、产品技术团队发现、孵化算法、产品类项目，并参与项目的共同推进；1. 统计、数学、信息技术、统计相关专业，有竞争分析经验者优先，有电商行业分析经验者优先； 2. 精通数据分析、从商业角度解读数据，熟练使用SAS等分析软件； 3. 有丰富的数据清洗、分析、挖掘的经验，有数仓搭建或互联网数据产品经验的优先； 4. 良好的数据敏感度，能从海量数据提炼核心结果，并用简洁而清晰的方式呈现数据分析背后的商业逻辑和相关洞建；有出色的结构化思维能力； 5. 有良好的跨团队、部门沟通及资源整合能力，能够独立开展研究项目； 6. 较强的抗压能力，能在迅速变化的商业环境和动态的业务需求中，抓住重点并交出有质量的产出。
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917286177.htm,拍卖-数据分析专家(职位编号：GP040045)
2,阿里巴巴集团 ,本科,3-5年,全职,数据分析师,若干 ,杭州,15天前,"1、负责海量风险数据挖掘与研究，建立识别模型，有算法基础 2、挖掘线上线下黑灰产业链的风险链路，推动搭建数据化智能化的分析产品 3、对接线下资源，协同专案进行线下打击，净化阿里商业生态1、两年以上分析工作经验或风控数据分析和数据挖掘领域相关工作经验 2、有严谨的逻辑思维与推导能力，有安全防控、安全产品背景优先 3、计算机、数学、统计学等相关专业本科以上学历，具备一定的算法、建模基础 4、具有良好的沟通与合作意识，抗压及学习能力强 5、很强的正义感，和自我驱动力，积极乐观，有担当。可适应短期出差
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917285630.htm,安全部-风险数据分析专家(职位编号：GP038618)
3,阿里巴巴集团 ,本科,3-5年,全职,数据分析师,若干 ,杭州,15天前,"1. 对供应链市场开展深入的业务分析，为公司揭示市场商机和风险  2. 在理解公司业务流程和现状的基础上开发各类算法模型  3. 建设菜鸟物流的分析体系和数据资产， 从应用角度考虑如何对业务及合作伙伴通过数据、模型、产品等形式进行赋能1. 拥有敏锐的市场洞察能力：对市场各类竞争对手情况及客群变化敏感  2. 拥有清晰的业务解构能力：面对各种新生市场中复杂模糊的情况，将业务解构为边界清晰的多个模块的能力  3. 拥有优秀的建模优化能力：能构建各类复杂的预测、分类及最优化模型  4. 3年以上的大数据分析领域模型开发经验，有带项目团队经验者优先，有金融方面的项目经验者优先。  5. 精通机器学习常用算法，熟练掌握业界常用的数据分析与建模方法，并且至少对一种方法有深刻地认识与理解，包括但不限于：回归分析、决策树、时间序列、生存模型、运筹优化、推荐算法、文本挖掘、NLP算法、深度学习、半监督学习、迁移学习、强化学习等；有大规模社会网络分析（SNA）项目经验优先。有算法编程实现的经验优先 6. 熟练掌握至少一种模型开发工具，比如 SAS ,? R，Python，SQL。了解深度学习平台优先；?
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917287127.htm,菜鸟-物流数据分析专家-数据部(职位编号：GP042504)
4,阿里巴巴集团 ,本科,3-5年,全职,数据分析师,若干 ,杭州,15天前,"岗位职责：  （1）负责收集、整理客户中心的运营数据，同时整合多渠道的服务数据以及前端业务数据，支持中心各团队业务分析、数据监控。  （2）基于服务指标体系，及时发现服务以及前端业务问题，进行异动指标分析或深度的专题分析定位问题并寻求解决方案。  （3）为中心各团队提供专题分析、数据分析与挖掘、模型及算法等相关服务，包括服务预测及异常监控。  （4）参与服务数据体系建设，协助建立数据管理模型。  （5）提炼数据产品需求，提供数据产品解决方案，并最终推动数据产品落地。岗位要求：；  （1）本科及以上学历，有数学、统计学和计算机相关专业背景者优先。  （2）熟练运用SQL、EXCEL、SAS、R等数据提取及分析工具；具有良好分析报告撰写能力，能制作专业分析报告。  （3）-工作细致，具备高度的责任感；擅于利用资源，具备较强的沟通协调能力。  （4）具有独立数据挖掘能力，具有一定的项目管理能力。  （5）能够快速理解业务，具备敏锐的洞察力和规划能力；有呼叫中心行业工作背景优先。
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917286040.htm,菜鸟-商业数据分析专家(职位编号：GP039750)
5,阿里巴巴集团 ,本科,1-3年,全职,数据分析师,若干 ,杭州,15天前,"1、业务指标体系的建立、完善、运营监控； 2、支持业务的日场分析需求；根据业务痛点，跟进和分析业务的解决； 3、通过对业务数据的挖掘，对专项问题、指定方向的重点研究与分析，并予业务决策支持；。1、至少2年以上数据分析相关工作经验； 2、精通SQL等数据应用工具； 3、对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统思考能力，良好的沟通能力； 4、数字敏感度高，具备较强的分析总结能力，有良好的数据呈现能力，包括PPT展示和讲解能力； 5、有服务领域的分析经验优先。
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917287535.htm,集团客户体验-资深数据分析专员-杭州(职位编号：GP043578)
6,阿里巴巴集团 ,本科,3-5年,全职,数据分析师,若干 ,杭州,15天前,"1、商业分析：深入了解互联网身份认证行业现状及商业模式，结合对阿里实人认证业务的深度理解，通过数据分析及时发现业务发展机会，提供运营策略建议，驱动业务发展； 2、风险分析：针对认证业务发展过程中碰到的重大风险，如认证手段突破，重大虚假认证风险等，进行全面深入的风险分析，情况还原，用户行为深挖，协同专案进行线下打击 3、风险预测：能够与产品，运营，情报等团队一起通过线下情况，线上用户行为进行深挖，通过数据分析/建模等方式，对业务风险进行预测，推送业务提前布放策略，促进团队数据化运营。1、优秀的大数据分析/建模/编程能力，对SQL等数据库语言熟悉，能熟练使用一种或多种分析工具，如sql, SAS,SPSS,MATLAB等; 2、具备互联网商业分析，或者互联网风险分析丰富经验 3、勤于思考，逻辑思维强，良好的沟通合作能力，具备推动方案落地执行的能力
                        


查看职位地图",面议,http://jobs.zhaopin.com/000127917283157.htm,安全部-数据分析专家-（线下业务安全）(职位编号：GP031916)
7,杭州钱塘大数据交易中心有限公司 ,本科,1-3年,全职,其他,4人 ,杭州-萧山区,15天前,"岗位职责：1、基于海量数据进行分析，洞察数据价值，参与业务分析、设计自动化可视报表、提高出报表效率2、分析产品不同模块、不同版本的数据变化及趋??3、研究行业动态，负责数据商业化的研究及实践；任职要求：1、掌握基本的统计学及基础数据挖掘模型，有较好的文字功底；2、掌握数据分析语言/工具（python、R、sas、matlab）至少一种3、具备良好的产品设计和规划能力，能独立主导一个产品方向，制定规划，并推进实施4、有丰富的数据产品经验，熟悉数据可视化工具及方法；5、对数据敏感，能从大数据中洞察价值，具备敏锐的商业嗅觉。6．有产业经济研究和电子商务经验者优先。7、另招实习生3-6名。

工作地址：

                            杭州市萧山科技城传化科创大厦B座5层",8000-15000元/月,http://jobs.zhaopin.com/367238036250046.htm,数据分析师
8,阿里巴巴集团 ,本科,5-10年,全职,数据运营,若干 ,杭州,15天前,"""1、负责对基础资源（服务器、网络和IDC）的运营及成本数据进行深度分析和挖掘，提升基础资源效率，并为资源产品的设计提供数据支持； 2，与数据平台工程师共同制定数据接口；针对具体的业务目标，设计建立相应数据模型； 3、负责基础资源进行有价值的专题研究，如对数据挖掘和预测模型的研究、获取并完善重要数据监控流程、探索产品的数据评价模型； 4、与产品和开发团队紧密沟通和联系，解决各部门数据统计和分析需求； 5、了解数据行业发展潮流指向及数据情况，负责跟踪数据分析领域的技术发展方向，分享研究成果。""""1、应用数学，统计学，经济学，计算机等相关专业，硕士以上学历优先； 2、3-5年数据分析建模经验；有大数据分析经验或数据挖掘经验者优先； 3、精通SQL语言，有SQL调优经验。熟练掌握一种或几种相关数据分析工具（ SPSS，SAS，Weka，R，Python等）； 4、有优秀的数据分析能力，能快速理解业务，并设计相应的数据模型； 5、工作态度认真、责任心强，有团队合作精神；有快速学习能力和良好沟通能力。 ""
                        


查看职位地图",面议,http://jobs.zhaopin.com/00012791790283905000.htm,基础设施事业群-基础资源数据分析师(职位编号：GP033926)
9,中电海康集团有限公司 ,本科,3-5年,全职,其他,1人 ,杭州,前天,"岗位职责：1、研究城市跨部门业务、流程、联动机制 2、研究城市跨部门数据共享，政府数据开放及互联网数据对城市管理的作用 3、研究数据共享对城市规划、发展的价值和应用场景任职要求：1、熟悉智慧城市的体系架构，从事政府数据开放共享研究者优先； 2、在社会综合治理、城市管理、平安城市、交通等行业方面有数据应用研究经验者优先； 3、具有极高的工作热情、思维活跃，较强的自我学习完善能力； 4、具有出色的沟通表达能力、严谨的逻辑思维能力及良好的语言文字功底； 5、工作踏实敬业，工作效率高，具有团队合作精神。

工作地址：

                            海创园
                            
                            查看职位地图",15001-20000元/月,http://jobs.zhaopin.com/634180522251361.htm,高级行业分析师（数据与业务分析方向）
